given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
 sma, blake,72, stockdale street, yarrandale moonee, sandgate,2262, nsw,19511223,4671131
 michael, rawlings,1554, millen sy ryeet, thehomestead, coolbellup,2750, sa, ,6689349
 jare, white,33, dawes street, villa 3, sandy bay,2871, nww,19640307,2135501
 amber, burnell,11, captain cook crescent, fig thees, kilsyth,2283, qld,19820812,3394398
 jack, blae,12, angophora street, rowethorpe, ascot,2390, vic,19001116,9895808
 chlgoe, ,13, clyne place, , scarness,2478, nsw,19800606,2830335
 timothy, de angilis,95, casey crescent, lumeah h omes, brighton,3400, sa,19910709,6079337
 abby, ryan,10, paul coeacrescent, kooyong, carlingford,3144, vic,19670119,9471831
 katie, choroey,99, kangaroo court, , blakehurst,2738, vic,19380305,4782391
 benjamin, rivers,31, barlow street, doribkn, alice springs,2298, vic,19160517,4713796
 sebastian, mcneill,3, ferndale, dryandra street, west lakes,2265, vic, ,2765960
 emiily, campbell,8, cowan steret, plantation caravn park, caisno,2113, qld,19531029,3909212
 jessica, goode,24, gundamain, devonport street, tanilba bay,6104, qld,19620120,3222738
 angus, ryan,4, shoalhaven avenue, , springw ood,2227, nsw,19641105,2959647
 zac, ,18, kambalda crescent, mckinnon glen, east mailand,4500, sa,19970725,2709860
 nguyen, isavel,8, mccawley street, jarkhellms, campbelltown,2122, vic,19860530,3659521
 tahlia, donaldson,59, badimara street, gibratlar, ,3149, qld,19630202,1983061
 , herbret,2, coplan d rive, boolig al, gin gin,3971, nsw,19160928,6069675
 kobe, tillaer,106, stuartstreet, yarrandalne moonee, douglas park,4573, wa,19300831,2715828
 rosie, green,9, martley circuit, orana gardens retirement village, sefton,4740, nsw,19400512,1038720
 laznger, gabrielle,526, delegateqstreet, oak valley, paddington,3910, wa,19800810,2343036
 mason, milek,214, hawdon street, blue hills, mill aprk,5104, wa,19210105,2356013
 jesse, white,9, dalley crescent, , north ikrra,3143, nsw,19820904,8123158
 trinity, coulson,45, horsley descent, wigla, para hills,3056, nsw,19920226,4445753
 tara, o'shannessy,233, osburn d rive, , maitlnd,2640, nsw,19380807,4654746
 kate, dent,42, gratwic kstreet, lyndlae park, williamstown,2067, vic,19040818,6983231
 liam, pauch,1005, elvire place, nara da, bronte,2137, tas,19470324,4505367
 gawthrop, catherine,16, westbury crcuit, black sna ke creek, arundel,3162, qld,19151003,9134417
 jesher, timothy, , hackett garden, narraburra lodge, killara,2283, vic,19000601,9949289
 , mounc,92, symers street, donald coburn lodg, ferryden park,2100, qld,19000224,4142857
 talia, berrey,24, nemarangcrescent, , nollamara,3707, vic,19690713,1239638
 , lamprey,16, bavin street, , goodwood,3260, nsw,19490504,2250069
 ebony, thorpe,8, , , yarra junction,6028, qld,19421204,2504255
 , clarke,3, hindmarsh drive, , greenwood,2061, sa,19440126,8957090
 zachary, croker,27, guthridg ecrescent, , rydd,3143, nsw,19630415,9034657
 emiily, rau,8, sims place, hobbit hole, pappinbarra,3141, tas,19530208,6681232
 michatel, berry,177, canberra avenue, teleon, east melbourne,2259, qld,19110224,5076815
 callum, jancek,2, darley p lace, garema plae surgery, ballarat zorth,4745, nsw,19201229,2980733
 tinfina, harrison,5, deasland place, toolebewong farm, southbank,2217, nsw,19880108,4659883
 , mcniell,33, crozier crcuit, legacy units, yambk,6166, nsw,19460824,7072281
 jacina, lomman,22, collings street, the hammonc village, ,3162, qld,19061009,6853014
 patrick, wevaer,100, allambee street, corcooan, preston,2681, nsw,19770725,5276236
 danika, mcvciar,25, maclagan street, rosed ale, canterbury,4350, vic,19550817,3962564
 nicholas, jermolajew,14, hodgson crescent, , mosman,2600, qld,19850327,5859130
 charles, eileen,330, baldwin drive, fern cliff, preston,3155, vic,19841207,9552166
 sophie, paterson,15, glynn street, family day care, lethbridge,6026, nsw,19850726,3382181
 charlotte, petersen,66, sturgeswplace, gerovin val ley ldge, landasle,2217, nsw,19691217,6017558
 archer, brammy,119, free place, , killara,2795, vic,19190802,3733888
 , felmingham,49, gawler crescent, wing ara, wynnym west,6159, nsw,19920718,7791969
 luke, barisica,4, macarth u rplace, kurrajong, windsor,5365, nsw,19510612,6325283
 brendan, whillas,30, nindaawrri, horrocks street, carlingflrd,6061, qld,19140619,7279575
 warrick, farragher,1, , dental 3 garden ctiy shopping centre, rose bay,3175, nsw,19920222,6909540
 mya, ayres,56, rockleigh c ottage, thornton place, nedlands,2652, vic,19220730,5645315
 jessica, jolly,59, higinbotham street, rosetta village, woodpark,7109, vic,19850112,2565859
 bailey, satte rley,28, newman morcbis circuit, carrington garden, beamont,2074, nsw,19730919,1989082
 lia, sheley,102, wisdom sreet, de cameron, port lincoln,2747, tas,19510313,7625458
 joshua, marcwta,5, crofts crescent, broombie stud, taringa,6009, vic,19740218,5842286
 bella, ,90, schonell circuit, greenhills, magill,3981, vic,19620712,7533159
 mia, pascoe,54, dwyer street, , leichhardt,2015, sa,19080310,5423895
 jamie, paterson, , lindrum crescent, fairlane estate, wangaratta,3014, wa,19860221,5336409
 michael, asendorf,20, ulm street, elmwood, jindalee,6323, vic,19560227,4757924
 michadla, rickett,13, sorlie place, terra nostra, robina,5157, nsw,19920309,4084583
 harry, dignam,22, investigato rstreet, , fairlihgt,2535, qld,19241105,2134538
 brooke, klimowski,4, beasley street, dungna von, woree,4113, nsw,19140805,6086531
 , hag e,62, livingston avenue, enderlee, nunawading,3350, nsw,19210108,4440855
 harry, matthews,1, dalmancrescent, timbara, leongatha south,2519, vic,19110203,4984322
 indiana, campbell,6, linger place, oakdene, ,5069, wa,19430315,7787158
 mia, lock,42, morrow treet, , woodburn,2810, nsw,19650307,6006824
 whiteley, ewa n,23, bennelong cescent, roskhikl, glen innes,3171, nsw,19840025,1326266
 liam, ,28, sculpto street, villa 2, upwey,2077, nsw,19370824,9117501
 grace, morrison,5, groom street, hellemere village, concord,3510, wa,19321010,3352261
 shuae, oxenbridxge,8, illoura glass studio, mceachern crescent, macquari e fields,6168, sa,19841208,7598821
 madison, gren,67, atherton street, moorilla, bondi junction,2489, wa,19920222,1194102
 chevonne, purser,5, mayo street, tumbeeluwa, sussex inlet,6210, qld,19461220,5908335
 rebecca, coppacok,3, homeleighwallaroo road, tinaroo falls, embleton,6152, vic,19101211,2971980
 luke, mccartyy,5, bandjalongcrescent, , north curl curl,2160, nsw,19521124,9203828
 bishop, marleigh,191, maltby circuit, lambrook, tammin,3029, wa,19311231,2010323
 maddiason, newpptr, , bingle street, burrendong est, burwood east,4818, nsw,19590707,5640367
 katie, binns,50, , carranta, ,3216, qld,19031119,1179767
 adam, coleman,14, ewart sdreet, camrai village, springfield,2795, nsw,19491208,6543835
 adam, barnetosn,3, wicks rqoad, , vermont,2234, nsw,19770922,1249535
 rourke, roets,78, grun er street, , kaleen,3227, ,19690509,1455274
 emiily, excell,10, druittplace, tharlane, salisbury,3478, vic,19390713,5109979
 abby, compton,10, batman street, mannafields farm, moun t isa,6021, nsw,19780508,7062701
 lucy, krzemmpek,9, heysenmstreet, macarthur place, sandy bay,3337, vic,19151217,5598578
 zachary, coffye,21, fellows street, brigalow court, kariong,5301, qld,19240219,4912880
 lucas, pascoe,163, tepper circuit, , corlette,4213, nsw,19350308,5399636
 william, ziswiler,68, bellchambers crescent, galloway, malvern,2215, vic,19010406,5172369
 henrya, ryan,22, marconi crescent, , tea tree gully,4019, qld,19930928,6244854
 daniel, dening,1498, gallow ay street, villa 2, yarrawonga,2191, vic,19810501,5572094
 sarah, grosvenor,190, moyes crescent, , ballaart,6155, nsw, ,6043963
 braien, kang,74, bastow circuit, inglewood, rivett,2092, qld,19290221,6533958
 tayah, white,15, stenhouse close, , mona vale,2206, sa,19390323,2815977
 , orchad,84, smal l loace, jalbarragup h omestead, glen eden,3075, qld,19181128,5132162
 portia, weaver,34, angophor astreet, knox retirement village, parramatta,3192, vic,19560218,7422879
 michael, webb,22, karrugangdcircuit, brentwood village, bokarina,2280, nsw,19571020,3226586
 matghew, clarke,101, brisbane avenue, billsblock, richadrson,3658, nsw,19450606,4699715
 isabella, berresford,21, parraweena, norfolk street, paddington,7330, nsw,19860819,4139219
 hayley, wyeth, , griffin palce, terawah station, broadmeadows,6060, vic,19590129,8188526
 chloe, campbell,26, darcy close, blxgrove, kedron,7249, sa,19210221,3030490
 brydon, macgowan,14, jaeger circuit, glenview, ,7262, ,19130615,8190321
 harriet, etherington,23, caley crescent, locn 217, emerald,2250, vfc,19140926,3623767
 amber, nguyen,293, hartungc rescent, grandview, aubura,2209, nsw,19780324,1331391
 georgia, carmoldy,107, ashburton circuit, , wamuran,3936, nsw,19660406,9507232
 charlotte, humphreys,10, jemalong wstreet, danica, lennox head,4655, vic,19450417,3763315
 alisa, kaderes,37, jaeger circuit, loc n 8, park hilme,4514, vic,19020714,2567085
 lauren, soae,187, grounds crescent, strathleigh, denmark,3075, qld,19021209,5792462
 yana, stanesby,8, the gums, blamey crescent, flinders park,7260, vic,19080415,9864532
 sophie, fitzpatrick,5, longerenong street, briars meadows, kincumber,2450, nws,19200110,7018366
 jack, wyllie,11, parker tsreet, , daisy hill,2440, nsw,19730825,7977290
 isabella, grimum,7, pither close, haigh park, ringwood,2256, vic,19660730,9089145
 caitlin, tebbutt,5, knoke avenue, section, tweed heads south,4811, wa,19851223,9714537
 tara, cother,13, louis lod er street, apt 16 the village, rowville,4350, vic,19740806,8528296
 isabella, orm,125, officer crescent, , sandgate,2190, nsw,19471012,5078419
 christian, walki,214, arabana street, brentwoo d village, abercrombie,2107, vic,19151009,3484473
 elli, sindorff,15, lansell circuit, palestine, yagoona,2148, sa,19671114,5791840
 daniel, dreckow,39, govettplace, gogulge r stock, preston,6210, vic,19510111,3162776
 jac, mercorglla,10, batman street, mannibsdar, biggerajwaters,2290, nsw,19290508,2441074
 amaya, pulford,41, challinor ctescent, rowethorpe, newcatsle,2534, qld,19930615,5220952
 noah, herbert,13, beasley street, herber t creek, oak park,4280, sa,19431227,7049548
 lucasj, rider, , mount vernon drive, boonsvi lle, whitfield,3193, vic,19561024,7575668
 tiania, lionis,207, domain street, jewells medical centre, pennant hills,3463, qld,19990424,5662051
 alessadra, stanley,9, araluen stteet, bombow lee, beaudesert,3104, qld,19940325,8650329
 jarre, crouch,33, currong street, montrose, st james,7316, nsw,19180503,4588775
 montana, webb,28, joyce pojace, ormerod cottage, surfers paradise,2305, vic,19420710,8424221
 melissa, monola,71, gilesstreet, north nowra shopping centre, greenwood,810, nsw,19730130,3690365
 kye, morrison,6, biddlecombe street, , daylesford,4670, vic,19951109,8949737
 , bottcoff,5, jindivik place, homewood, meringandan,3222, vic,19640816,5214622
 finlay, ,3, summerland circuit, , auburn,3216, tas,19001106,5825057
 doman, matthwe,4, hinton place, blck 1809, raymond terrace,2146, vic,19740703,2775852
 calbe, newberry,14, mackenziestreet, mountainview retirement vlge, emerald,2560, sa,19211203,1454125
 waller, caleb,32, fowles street, jandarra, mill park,2735, nsw,19460702,8515576
 adriana, jenko,28, samuels crescent, wariadla, cambooya,3691, vci,19620402,8518234
 jarred, rider, , robinsonstreet, , evans head,3123, nsw,19401202,2875179
 henry, pozn ika,2, ashkanasy crescent, nelgrovepark, beenlegigh,2171, tas,19521203,7678518
 clodagh, tromp,7, boustea dcircuit, lochenf els, greenacre,2770, nsw,19870808,7950786
 max, britten,2, schlam place, gow rie, dungog,5075, wa,19441213,9021437
 luke, beattie,16, blinkhorn place, lucerneoark, corrimal,4118, act,19211118,5586410
 angie, mcgahey,54, moorestreet, farnorah home, elwood,4077, vic,19001102,8638894
 macormack, kastrappis,41, predd ey way, conce pt, scarborough,3660, nsw,19171116,8170262
 charli, gaskin,24, james smith circuit, villa2, gawler river,2641, vic,19590904,3925628
 caleb, dabinet,30, springfields farms, rodway tsreet, mount ommaney,3133, qld,19040620,2071263
 dnaiel, fysh,27, appel crescent, , hermit park,2333, nsw,19620207,3085695
 mitchell, tien,23, padbury street, greenslopes, concord,3429, nsw,19780903,6760018
 kydan, siviour,18, galibalesgreet, the willows, ,2327, nsw,19830421,8231850
 alexander, webb,115, gaby place, albioj grove, springfield,2902, nsw,19760418,5411978
 biacna, brummer-archer,311, henry melville crescent, rosetta village, strathdickie,3023, qld,19890705,9167456
 jessica, lomman,28, wallis place, glengariffe, north sydney,3039, sa,19801217,6284781
 , kempton,22, walton street, henry kendall bayside, vale park,2205, sa,19330113,3037416
 noah, doman,20, boucaut place, oakdale, clarinda,3072, vic, ,4747349
 aprl, bellchambers,2, borrowdal street, , wunghnu,2080, qld,19970426,8134681
 lilly, godfrey,7, discovery street, 2/98-latchford barracks, trigg,6019, wa,19030330,7434268
 nicholas, campbell,23, birchallsetreet, karsul, carnegie,2587, act,19690319,1631489
 benjamin, hartland, , ranken place, sorrento, collie,3799, qld,19080206,7081202
 christian, dietrich,27, lindrum crescent, matilda blue, rostevor,4560, wa,19170307,3108840
 erin, red, , cornish place, ferdnale, renown park,2281, vic,19420519,7078005
 jake, blaje,212, cassons treet, longridge, geelong west,3280, nsw,19601009,8244609
 , camp,28, sharwood crescent, , laverton,2153, vic, ,8240507
 trey, goetdze,4, petterd street, bonnu doon, brighton,7054, vic,19250118,1744778
 joshua, fauser,2, unt 2, harrington pcircuit, kingsford,2280, nsw,19820606,4981335
 nathan, samuniuk,53, forest dale, burkitt street, hindmarsh west,5540, nsw,19831213,3693831
 wieloch, jack,29, mackennal street, , thornbury,2261, nsw,19500927,2954380
 laklynn, whhite, , french street, mari-ma farm, eleebana,4655, nsw, ,2842344
 holly, glennon,8, ballumbir street, summefvale, glengowrie,4124, wa,19490518,6635323
 bradley, komsic,6, westbury cricuit, meadow view, adamstowv heights,2046, qld,19140420,5731419
 michael, stagoll,65, tyson street, bypass road, cleveland,3150, nsw,19190521,3941516
 mason, leo n,545, hawkesbury crescent, doubtful ck, ballina,3138, qld,19541005,1583491
 joel, lace,33, bannerstreet, wombinoo station, highton,2559, nsw,19140416,3971456
 ainsley, labalck,23, atherto n street, villa 1/4, deer park,3418, nsw,19310531,4102867
 samuel, ,96, duffy stireet, bogandina prop, lavington,2121, qld,19690309,4678214
 finn, leslie,7, longmore crescent, the lodge, woodcroft,7250, qld,19670715,1685360
 cain, synnet,17, langdon avenue, millard centre, leichhardt,2625, nsw,19881209,9321868
 michael, pesitka,27, tabbagnog, fisken crescent, seven ihlls,3204, nsw,19610803,4973970
 gabrielle, mailp,77, rich atreet, boonoo soonoo, rokeby,5271, sa,19561107,9010254
 levi, hunting,203, eureesyreet, northern tablelands tennis academy, condell park,4207, wa,19580418,7383570
 , mercoreola,14, couchman crescent, springfielsd farms, taringa,4501, vic,19520708,9804598
 patrvrck, george,11, coxen stret, belleview, urangan,4051, nsw,19371129,5526595
 noble, sophife,9, university avenue, shenstone park, albion park,3325, vic,19361013,3379987
 kyle, webb,1, emily bulcock crescent, belmont baybiew park, corriaml,3055, wa,19510310,9153676
 tschirn, kale,100, garaheh, waldockstreet, bayswater,3350, vic, ,6637214
 samantha, harrington,29, beaver place, , toukleey,6751, vic,19471114,9485434
 ned, gren,6, higgs place, radwon, ourimbah,4880, sa,19840321,4691573
 robin, swiggs,29, mcclellan d avenue, , preston,3170, qld,19051107,9180357
 gianni, carrabba,670, , grangemoe, bassendean,2602, vic,19740108,9777753
 riley, loehr,370, caldwell street, springdale, maitland,4680, tas,19000723,4599665
 anari, burrill,41, burrinjuc crescent, , east freemantle,2537, wa,19671115,7891299
 tyler, siviour,1, ina gregor circuit, oivi, blakeview,3630, qld,19030131,6849934
 devan, clatke, , windradyne street, buena vista, south perth,4127, nsw,19060130,3013362
 alicia, beat y,6, thomas scitt village, fred williams crescent, mackay north,2074, nsw,19591014,7678577
 daniel, warusevitane,123, mccaughey street, lemnos, lismore,3023, vic,19990918,9753519
 gabr ielle, richmond,3, ebenezer street, peakv iew, maningrida,4352, sa,19941228,5532143
 laneau, shane,5, miller street, fenne r hall, richlands,2640, vic,19430101,4023866
 montana, hawes,15, lange lpace, richon, glenmore park,6530, nsw,19310914,7814038
 gemma, coulson, , pickworth street, berargoon, beenleigh,2192, sa,19861003,2163031
 christopher, felmingham, , tallaraparkway, the provincial, moree,2195, sa,19600327,7478108
 talia, brooker,30, bellchambers crescent, rowethorpe, hawtohrn,2033, sa,19561107,4841722
 jenna, grosser,7, heagney crescent, , ashwood,2528, nsw,19020713,3312375
 benjamin, cassimatis,23, , yacklin, thornleigh,6006, nsw, ,6107392
 elzia, koziol,183, wattle street, blueberr hill, blacktown,6826, nsw,19940208,8842130
 benjamin, campbell,159, corrigan yplace, , thornbury,2300, nsw,19870227,4459447
 matteus, wilde,13, cumberleg ecrescent, , bourke,4740, qld,19260702,7889277
 alissa, yelds,2, bingley crescent, woodlands house, leeton,3012, sa,19881106,8003824
 dylan, beal,82, sargood syreet, st john of god hospital, kingusqon,2088, qld,19620914,4831404
 sam, reid,333, leahy close, lavender farm, lakemba,2291, vic,19961213,1592375
 christopher, calow,8, talbot srteet, cliffney park, waterloo,4173, qld,19820525,8644857
 mila, campbell,36, beasley street, krismark, dalby,2375, nsw,19010602,5343180
 elana, camepbell,12, crisp circuit, broughton brook, midland,2768, qld,19720103,9877933
 shakira, ryan,89, ainslie avjenue, wanda na, pymble,3631, qld,19241014,1774551
 , finlay,14, castleton crescent, killuke, bundaberg,4670, qld,19600319,1709445
 chloe, herbert,30, canberra avenue, bombowzee, humpty doo,5082, vic,19791208,1380182
 chloe, whitie,22, macgregot street, merimaja, bunbury,2782, nsw,19330113,6064969
 keahsley, baake,51, gallagher street, belconnen animal hoxp ital (cnr coulter d, south melbourne,2444, vic,19691015,2632188
 georgia, ,7, chipperfield circuit, eastern end, ryde,3500, vic,19141110,1576434
 ethan, rawlings,217, crisp c ircuit, brentwood vlge, hectorville,3469, nsw,19570525,2496172
 widdowson, alicia,69, dinnison circuit, tourist park, portq iprie,3551, qld,19300510,1675302
 chloe, lamacka,32, harriot road, , bongaree,7310, nss,19350813,7704327
 heans, mikayla,2, alexandrastreet, anona farm, broken hill,2444, qld,19510303,7694084
 , kubenk,35, araban asreet, carrington retrmnt vlge, revesby,2212, nsw,19901231,6501846
 eri, calrke,11, patten street, paddy's river, mourya,2066, nsw,19690410,6325590
 mitchell, hunting,14, catchpole qtreet, windara, ,3155, qld,19050619,4197943
 jordan, allegretto,22, stacy s treet, b, bonny rigg,2069, nsw,19380915,1390998
 diloln, lowe,31, faithfull circuit, mlc c entre, colac,2088, nsw,19961116,6464208
 lachlan, white,1, atherton tsreet, the mews royal hotel bldg, alexandra bridge,3390, vic,19810422,5260328
 aleaxndra, newberry,69, earle lace, broome vacatin village, wallsend,3749, nsw,19691006,5799594
 rubh, morrison, , armidal e hospital, nemarang crescent, avoca ebach,2100, ,19280502,4180920
 hamish, web,10, melrose rdive, grandview, south erth,3074, vic,19200409,6364419
 chloe, white,33, gadali crescent, rondyavoo, logankea,3069, vic,19331024,8293935
